RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678089131265	test RUN 1	3.3.1
REQUEST	43		LoadHomePage	1678089148813	1678089149259	OK	 
USER	MyComputerJourney	52	START	1678089149262	1678089149262
REQUEST	44		LoadHomePage	1678089148863	1678089149300	OK	 
USER	MyComputerJourney	53	START	1678089149312	1678089149312
REQUEST	45		LoadHomePage	1678089148913	1678089149357	OK	 
USER	MyComputerJourney	54	START	1678089149362	1678089149362
REQUEST	46		LoadHomePage	1678089148963	1678089149398	OK	 
USER	MyComputerJourney	55	START	1678089149413	1678089149413
REQUEST	47		LoadHomePage	1678089149013	1678089149451	OK	 
USER	MyComputerJourney	56	START	1678089149462	1678089149462
REQUEST	48		LoadHomePage	1678089149063	1678089149486	OK	 
USER	MyComputerJourney	57	START	1678089149512	1678089149512
USER	MyComputerJourney	58	START	1678089149563	1678089149563
REQUEST	49		LoadHomePage	1678089149113	1678089149569	OK	 
REQUEST	50		LoadHomePage	1678089149163	1678089149590	OK	 
USER	MyComputerJourney	59	START	1678089149612	1678089149612
REQUEST	51		LoadHomePage	1678089149213	1678089149646	OK	 
USER	MyComputerJourney	60	START	1678089149662	1678089149662
REQUEST	52		LoadHomePage	1678089149263	1678089149695	OK	 
USER	MyComputerJourney	61	START	1678089149712	1678089149712
REQUEST	53		LoadHomePage	1678089149312	1678089149756	OK	 
USER	MyComputerJourney	62	START	1678089149763	1678089149763
REQUEST	54		LoadHomePage	1678089149363	1678089149793	OK	 
USER	MyComputerJourney	63	START	1678089149813	1678089149813
USER	MyComputerJourney	64	START	1678089149862	1678089149862
REQUEST	55		LoadHomePage	1678089149413	1678089149868	OK	 
USER	MyComputerJourney	65	START	1678089149912	1678089149912
REQUEST	56		LoadHomePage	1678089149463	1678089149916	OK	 
REQUEST	57		LoadHomePage	1678089149513	1678089149943	OK	 
USER	MyComputerJourney	66	START	1678089149962	1678089149962
USER	MyComputerJourney	67	START	1678089150012	1678089150012
REQUEST	58		LoadHomePage	1678089149565	1678089150018	OK	 
REQUEST	59		LoadHomePage	1678089149613	1678089150039	OK	 
USER	MyComputerJourney	68	START	1678089150062	1678089150062
REQUEST	60		LoadHomePage	1678089149663	1678089150109	OK	 
USER	MyComputerJourney	69	START	1678089150112	1678089150112
REQUEST	3		CreateNewComputer	1678089150034	1678089150144	OK	 
REQUEST	61		LoadHomePage	1678089149714	1678089150147	OK	 
USER	MyComputerJourney	70	START	1678089150162	1678089150162
REQUEST	62		LoadHomePage	1678089149764	1678089150212	OK	 
USER	MyComputerJourney	71	START	1678089150213	1678089150213
REQUEST	63		LoadHomePage	1678089149815	1678089150255	OK	 
REQUEST	3		CreateNewComputer Redirect 1	1678089150146	1678089150258	OK	 
USER	MyComputerJourney	72	START	1678089150263	1678089150263
REQUEST	64		LoadHomePage	1678089149863	1678089150309	OK	 
USER	MyComputerJourney	73	START	1678089150312	1678089150312
REQUEST	65		LoadHomePage	1678089149913	1678089150359	OK	 
USER	MyComputerJourney	74	START	1678089150362	1678089150362
REQUEST	66		LoadHomePage	1678089149962	1678089150413	OK	 
USER	MyComputerJourney	75	START	1678089150413	1678089150413
USER	MyComputerJourney	76	START	1678089150462	1678089150462
REQUEST	67		LoadHomePage	1678089150014	1678089150465	OK	 
REQUEST	68		LoadHomePage	1678089150064	1678089150512	OK	 
USER	MyComputerJourney	77	START	1678089150512	1678089150512
REQUEST	69		LoadHomePage	1678089150114	1678089150555	OK	 
USER	MyComputerJourney	78	START	1678089150562	1678089150562
REQUEST	70		LoadHomePage	1678089150164	1678089150611	OK	 
USER	MyComputerJourney	79	START	1678089150613	1678089150613
REQUEST	71		LoadHomePage	1678089150215	1678089150646	OK	 
USER	MyComputerJourney	80	START	1678089150662	1678089150662
REQUEST	72		LoadHomePage	1678089150265	1678089150694	OK	 
USER	MyComputerJourney	81	START	1678089150713	1678089150713
REQUEST	73		LoadHomePage	1678089150314	1678089150748	OK	 
USER	MyComputerJourney	82	START	1678089150762	1678089150762
REQUEST	74		LoadHomePage	1678089150364	1678089150794	OK	 
USER	MyComputerJourney	83	START	1678089150812	1678089150812
REQUEST	75		LoadHomePage	1678089150415	1678089150836	OK	 
USER	MyComputerJourney	84	START	1678089150862	1678089150862
REQUEST	76		LoadHomePage	1678089150464	1678089150892	OK	 
USER	MyComputerJourney	85	START	1678089150912	1678089150912
REQUEST	77		LoadHomePage	1678089150514	1678089150945	OK	 
USER	MyComputerJourney	86	START	1678089150963	1678089150963
REQUEST	6		LoadNewComputerPage	1678089150873	1678089150982	OK	 
REQUEST	78		LoadHomePage	1678089150564	1678089150992	OK	 
USER	MyComputerJourney	87	START	1678089151013	1678089151013
REQUEST	79		LoadHomePage	1678089150615	1678089151063	OK	 
USER	MyComputerJourney	88	START	1678089151063	1678089151063
USER	MyComputerJourney	89	START	1678089151112	1678089151112
USER	MyComputerJourney	90	START	1678089151162	1678089151162
REQUEST	80		LoadHomePage	1678089150664	1678089151210	OK	 
REQUEST	81		LoadHomePage	1678089150714	1678089151211	OK	 
USER	MyComputerJourney	91	START	1678089151212	1678089151212
REQUEST	82		LoadHomePage	1678089150764	1678089151213	OK	 
USER	MyComputerJourney	92	START	1678089151262	1678089151262
USER	MyComputerJourney	93	START	1678089151312	1678089151312
USER	MyComputerJourney	94	START	1678089151362	1678089151362
REQUEST	83		LoadHomePage	1678089150814	1678089151398	OK	 
REQUEST	84		LoadHomePage	1678089150864	1678089151398	OK	 
USER	MyComputerJourney	95	START	1678089151412	1678089151412
USER	MyComputerJourney	96	START	1678089151463	1678089151463
REQUEST	85		LoadHomePage	1678089150913	1678089151503	OK	 
REQUEST	86		LoadHomePage	1678089150965	1678089151510	OK	 
USER	MyComputerJourney	97	START	1678089151512	1678089151512
USER	MyComputerJourney	98	START	1678089151562	1678089151562
USER	MyComputerJourney	99	START	1678089151612	1678089151612
REQUEST	88		LoadHomePage	1678089151065	1678089151612	OK	 
REQUEST	87		LoadHomePage	1678089151015	1678089151621	OK	 
USER	MyComputerJourney	100	START	1678089151662	1678089151662
USER	MyComputerJourney	101	START	1678089151712	1678089151712
REQUEST	90		LoadHomePage	1678089151164	1678089151758	OK	 
REQUEST	89		LoadHomePage	1678089151114	1678089151762	OK	 
USER	MyComputerJourney	102	START	1678089151763	1678089151763
REQUEST	91		LoadHomePage	1678089151214	1678089151763	OK	 
USER	MyComputerJourney	103	START	1678089151813	1678089151813
USER	MyComputerJourney	104	START	1678089151862	1678089151862
USER	MyComputerJourney	105	START	1678089151913	1678089151913
USER	MyComputerJourney	106	START	1678089151963	1678089151963
REQUEST	94		LoadHomePage	1678089151363	1678089151969	OK	 
REQUEST	92		LoadHomePage	1678089151264	1678089151972	OK	 
REQUEST	93		LoadHomePage	1678089151313	1678089151974	OK	 
USER	MyComputerJourney	107	START	1678089152013	1678089152013
USER	MyComputerJourney	108	START	1678089152063	1678089152063
USER	MyComputerJourney	109	START	1678089152113	1678089152113
REQUEST	97		LoadHomePage	1678089151514	1678089152151	OK	 
REQUEST	96		LoadHomePage	1678089151464	1678089152152	OK	 
REQUEST	95		LoadHomePage	1678089151415	1678089152152	OK	 
REQUEST	4		CreateNewComputer	1678089151983	1678089152154	OK	 
USER	MyComputerJourney	110	START	1678089152163	1678089152163
USER	MyComputerJourney	111	START	1678089152212	1678089152212
USER	MyComputerJourney	112	START	1678089152262	1678089152262
USER	MyComputerJourney	113	START	1678089152312	1678089152312
USER	MyComputerJourney	114	START	1678089152362	1678089152362
REQUEST	99		LoadHomePage	1678089151614	1678089152370	OK	 
REQUEST	4		CreateNewComputer Redirect 1	1678089152158	1678089152370	OK	 
REQUEST	98		LoadHomePage	1678089151563	1678089152371	OK	 
USER	MyComputerJourney	115	START	1678089152412	1678089152412
USER	MyComputerJourney	116	START	1678089152463	1678089152463
USER	MyComputerJourney	117	START	1678089152513	1678089152513
USER	MyComputerJourney	118	START	1678089152562	1678089152562
REQUEST	103		LoadHomePage	1678089151815	1678089152582	OK	 
REQUEST	102		LoadHomePage	1678089151765	1678089152583	OK	 
REQUEST	100		LoadHomePage	1678089151664	1678089152587	OK	 
REQUEST	101		LoadHomePage	1678089151713	1678089152589	OK	 
USER	MyComputerJourney	119	START	1678089152613	1678089152613
USER	MyComputerJourney	120	START	1678089152663	1678089152663
USER	MyComputerJourney	121	START	1678089152713	1678089152713
USER	MyComputerJourney	122	START	1678089152762	1678089152762
REQUEST	106		LoadHomePage	1678089151967	1678089152779	OK	 
REQUEST	107		LoadHomePage	1678089152015	1678089152779	OK	 
REQUEST	7		LoadNewComputerPage	1678089152584	1678089152779	OK	 
REQUEST	104		LoadHomePage	1678089151864	1678089152781	OK	 
REQUEST	10		LoadNewComputerPage	1678089152623	1678089152782	OK	 
REQUEST	105		LoadHomePage	1678089151914	1678089152782	OK	 
REQUEST	8		LoadNewComputerPage	1678089152593	1678089152783	OK	 
REQUEST	9		LoadNewComputerPage	1678089152613	1678089152785	OK	 
USER	MyComputerJourney	123	START	1678089152812	1678089152812
USER	MyComputerJourney	124	START	1678089152863	1678089152863
USER	MyComputerJourney	125	START	1678089152912	1678089152912
USER	MyComputerJourney	126	START	1678089152962	1678089152962
REQUEST	13		LoadNewComputerPage	1678089152773	1678089152991	OK	 
REQUEST	110		LoadHomePage	1678089152164	1678089152991	OK	 
REQUEST	11		LoadNewComputerPage	1678089152683	1678089152994	OK	 
REQUEST	111		LoadHomePage	1678089152215	1678089152994	OK	 
REQUEST	109		LoadHomePage	1678089152114	1678089152997	OK	 
REQUEST	12		LoadNewComputerPage	1678089152743	1678089152999	OK	 
REQUEST	14		LoadNewComputerPage	1678089152823	1678089153003	OK	 
REQUEST	108		LoadHomePage	1678089152065	1678089153008	OK	 
USER	MyComputerJourney	127	START	1678089153013	1678089153013
USER	MyComputerJourney	128	START	1678089153063	1678089153063
USER	MyComputerJourney	129	START	1678089153112	1678089153112
USER	MyComputerJourney	130	START	1678089153162	1678089153162
REQUEST	115		LoadHomePage	1678089152413	1678089153191	OK	 
REQUEST	114		LoadHomePage	1678089152363	1678089153192	OK	 
REQUEST	17		LoadNewComputerPage	1678089152973	1678089153193	OK	 
REQUEST	15		LoadNewComputerPage	1678089152902	1678089153193	OK	 
REQUEST	18		LoadNewComputerPage	1678089153014	1678089153198	OK	 
REQUEST	112		LoadHomePage	1678089152265	1678089153200	OK	 
REQUEST	16		LoadNewComputerPage	1678089152963	1678089153208	OK	 
REQUEST	113		LoadHomePage	1678089152314	1678089153209	OK	 
USER	MyComputerJourney	131	START	1678089153213	1678089153213
USER	MyComputerJourney	132	START	1678089153263	1678089153263
USER	MyComputerJourney	133	START	1678089153313	1678089153313
USER	MyComputerJourney	134	START	1678089153363	1678089153363
REQUEST	21		LoadNewComputerPage	1678089153152	1678089153396	OK	 
REQUEST	118		LoadHomePage	1678089152565	1678089153398	OK	 
REQUEST	20		LoadNewComputerPage	1678089153123	1678089153400	OK	 
REQUEST	119		LoadHomePage	1678089152615	1678089153400	OK	 
REQUEST	116		LoadHomePage	1678089152464	1678089153412	OK	 
USER	MyComputerJourney	135	START	1678089153413	1678089153413
REQUEST	19		LoadNewComputerPage	1678089153072	1678089153412	OK	 
REQUEST	117		LoadHomePage	1678089152515	1678089153421	OK	 
USER	MyComputerJourney	136	START	1678089153463	1678089153463
USER	MyComputerJourney	137	START	1678089153513	1678089153513
USER	MyComputerJourney	138	START	1678089153563	1678089153563
REQUEST	123		LoadHomePage	1678089152813	1678089153602	OK	 
REQUEST	23		LoadNewComputerPage	1678089153273	1678089153602	OK	 
REQUEST	24		LoadNewComputerPage	1678089153323	1678089153602	OK	 
REQUEST	120		LoadHomePage	1678089152665	1678089153608	OK	 
REQUEST	25		LoadNewComputerPage	1678089153363	1678089153606	OK	 
REQUEST	27		LoadNewComputerPage	1678089153453	1678089153613	OK	 
USER	MyComputerJourney	139	START	1678089153613	1678089153613
REQUEST	2		FilterComputer	1678089153274	1678089153603	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	1		FilterComputer	1678089153273	1678089153619	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089153656
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089153656
USER	MyComputerJourney	140	START	1678089153662	1678089153662
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089153682
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089153682
USER	MyComputerJourney	1	END	1678089137013	1678089153698
USER	MyComputerJourney	2	END	1678089137022	1678089153698
REQUEST	121		LoadHomePage	1678089152715	1678089153703	OK	 
REQUEST	122		LoadHomePage	1678089152764	1678089153705	OK	 
REQUEST	26		LoadNewComputerPage	1678089153413	1678089153708	OK	 
USER	MyComputerJourney	141	START	1678089153712	1678089153712
USER	MyComputerJourney	142	START	1678089153763	1678089153763
REQUEST	127		LoadHomePage	1678089153020	1678089153806	OK	 
REQUEST	28		LoadNewComputerPage	1678089153522	1678089153807	OK	 
REQUEST	125		LoadHomePage	1678089152913	1678089153809	OK	 
REQUEST	128		LoadHomePage	1678089153064	1678089153810	OK	 
USER	MyComputerJourney	143	START	1678089153813	1678089153813
REQUEST	124		LoadHomePage	1678089152863	1678089153813	OK	 
REQUEST	22		LoadNewComputerPage	1678089153223	1678089153814	OK	 
REQUEST	29		LoadNewComputerPage	1678089153572	1678089153820	OK	 
REQUEST	126		LoadHomePage	1678089152964	1678089153820	OK	 
REQUEST	30		LoadNewComputerPage	1678089153613	1678089153828	OK	 
USER	MyComputerJourney	144	START	1678089153862	1678089153862
