RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678089131265	test RUN 1	3.3.1
REQUEST	177		LoadNewComputerPage	1678089161292	1678089161402	OK	 
USER	MyComputerJourney	295	START	1678089161412	1678089161412
REQUEST	176		LoadNewComputerPage	1678089161302	1678089161415	OK	 
REQUEST	174		LoadNewComputerPage	1678089161322	1678089161434	OK	 
REQUEST	287		LoadHomePage	1678089161013	1678089161444	OK	 
USER	MyComputerJourney	296	START	1678089161462	1678089161462
REQUEST	72		CreateNewComputer Redirect 1	1678089161370	1678089161477	OK	 
REQUEST	82		CreateNewComputer	1678089161373	1678089161480	OK	 
REQUEST	77		CreateNewComputer Redirect 1	1678089161370	1678089161482	OK	 
REQUEST	6		FilterComputer	1678089161373	1678089161483	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	81		CreateNewComputer	1678089161373	1678089161483	OK	 
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089161485
REQUEST	80		CreateNewComputer	1678089161373	1678089161483	OK	 
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089161486
USER	MyComputerJourney	6	END	1678089145012	1678089161489
REQUEST	78		CreateNewComputer Redirect 1	1678089161379	1678089161491	OK	 
REQUEST	288		LoadHomePage	1678089161062	1678089161495	OK	 
REQUEST	79		CreateNewComputer Redirect 1	1678089161388	1678089161500	OK	 
REQUEST	178		LoadNewComputerPage	1678089161393	1678089161503	OK	 
USER	MyComputerJourney	297	START	1678089161513	1678089161513
REQUEST	179		LoadNewComputerPage	1678089161402	1678089161515	OK	 
REQUEST	180		LoadNewComputerPage	1678089161433	1678089161546	OK	 
REQUEST	289		LoadHomePage	1678089161113	1678089161555	OK	 
USER	MyComputerJourney	298	START	1678089161562	1678089161562
REQUEST	82		CreateNewComputer Redirect 1	1678089161481	1678089161589	OK	 
REQUEST	81		CreateNewComputer Redirect 1	1678089161485	1678089161593	OK	 
REQUEST	80		CreateNewComputer Redirect 1	1678089161487	1678089161599	OK	 
REQUEST	183		LoadNewComputerPage	1678089161492	1678089161600	OK	 
REQUEST	290		LoadHomePage	1678089161163	1678089161608	OK	 
USER	MyComputerJourney	299	START	1678089161613	1678089161613
REQUEST	185		LoadNewComputerPage	1678089161517	1678089161627	OK	 
REQUEST	184		LoadNewComputerPage	1678089161523	1678089161633	OK	 
REQUEST	83		CreateNewComputer	1678089161533	1678089161640	OK	 
REQUEST	182		LoadNewComputerPage	1678089161533	1678089161643	OK	 
REQUEST	84		CreateNewComputer	1678089161533	1678089161645	OK	 
USER	MyComputerJourney	300	START	1678089161663	1678089161663
REQUEST	291		LoadHomePage	1678089161213	1678089161667	OK	 
REQUEST	186		LoadNewComputerPage	1678089161593	1678089161697	OK	 
REQUEST	292		LoadHomePage	1678089161263	1678089161699	OK	 
USER	MyComputerJourney	301	START	1678089161712	1678089161712
REQUEST	187		LoadNewComputerPage	1678089161613	1678089161719	OK	 
REQUEST	85		CreateNewComputer	1678089161622	1678089161728	OK	 
REQUEST	189		LoadNewComputerPage	1678089161622	1678089161731	OK	 
REQUEST	86		CreateNewComputer	1678089161632	1678089161738	OK	 
REQUEST	293		LoadHomePage	1678089161313	1678089161739	OK	 
REQUEST	83		CreateNewComputer Redirect 1	1678089161640	1678089161748	OK	 
REQUEST	84		CreateNewComputer Redirect 1	1678089161645	1678089161757	OK	 
REQUEST	188		LoadNewComputerPage	1678089161653	1678089161762	OK	 
USER	MyComputerJourney	302	START	1678089161762	1678089161762
REQUEST	294		LoadHomePage	1678089161363	1678089161782	OK	 
REQUEST	191		LoadNewComputerPage	1678089161702	1678089161808	OK	 
USER	MyComputerJourney	303	START	1678089161812	1678089161812
REQUEST	85		CreateNewComputer Redirect 1	1678089161728	1678089161836	OK	 
REQUEST	88		CreateNewComputer	1678089161733	1678089161838	OK	 
REQUEST	295		LoadHomePage	1678089161414	1678089161844	OK	 
REQUEST	86		CreateNewComputer Redirect 1	1678089161738	1678089161846	OK	 
REQUEST	192		LoadNewComputerPage	1678089161743	1678089161856	OK	 
USER	MyComputerJourney	304	START	1678089161862	1678089161862
REQUEST	87		CreateNewComputer	1678089161752	1678089161863	OK	 
REQUEST	190		LoadNewComputerPage	1678089161762	1678089161884	OK	 
REQUEST	296		LoadHomePage	1678089161463	1678089161895	OK	 
REQUEST	193		LoadNewComputerPage	1678089161782	1678089161895	OK	 
USER	MyComputerJourney	305	START	1678089161912	1678089161912
REQUEST	194		LoadNewComputerPage	1678089161833	1678089161945	OK	 
REQUEST	88		CreateNewComputer Redirect 1	1678089161839	1678089161945	OK	 
USER	MyComputerJourney	306	START	1678089161963	1678089161963
REQUEST	297		LoadHomePage	1678089161514	1678089161970	OK	 
REQUEST	87		CreateNewComputer Redirect 1	1678089161864	1678089161975	OK	 
REQUEST	195		LoadNewComputerPage	1678089161872	1678089161984	OK	 
REQUEST	90		CreateNewComputer	1678089161883	1678089161986	OK	 
REQUEST	91		CreateNewComputer	1678089161893	1678089162000	OK	 
REQUEST	298		LoadHomePage	1678089161563	1678089162006	OK	 
USER	MyComputerJourney	307	START	1678089162012	1678089162012
REQUEST	89		CreateNewComputer	1678089161903	1678089162014	OK	 
REQUEST	196		LoadNewComputerPage	1678089161922	1678089162031	OK	 
REQUEST	299		LoadHomePage	1678089161613	1678089162057	OK	 
USER	MyComputerJourney	308	START	1678089162062	1678089162062
REQUEST	173		LoadNewComputerPage	1678089161963	1678089162069	OK	 
REQUEST	197		LoadNewComputerPage	1678089161972	1678089162081	OK	 
REQUEST	300		LoadHomePage	1678089161663	1678089162092	OK	 
REQUEST	90		CreateNewComputer Redirect 1	1678089161987	1678089162092	OK	 
REQUEST	91		CreateNewComputer Redirect 1	1678089162001	1678089162110	OK	 
USER	MyComputerJourney	309	START	1678089162112	1678089162112
REQUEST	89		CreateNewComputer Redirect 1	1678089162015	1678089162128	OK	 
REQUEST	198		LoadNewComputerPage	1678089162023	1678089162134	OK	 
REQUEST	301		LoadHomePage	1678089161713	1678089162140	OK	 
USER	MyComputerJourney	310	START	1678089162162	1678089162162
REQUEST	199		LoadNewComputerPage	1678089162062	1678089162170	OK	 
REQUEST	302		LoadHomePage	1678089161762	1678089162191	OK	 
REQUEST	92		CreateNewComputer	1678089162093	1678089162199	OK	 
REQUEST	93		CreateNewComputer	1678089162103	1678089162210	OK	 
USER	MyComputerJourney	311	START	1678089162213	1678089162213
REQUEST	94		CreateNewComputer	1678089162103	1678089162214	OK	 
REQUEST	200		LoadNewComputerPage	1678089162123	1678089162234	OK	 
USER	MyComputerJourney	312	START	1678089162262	1678089162262
REQUEST	303		LoadHomePage	1678089161813	1678089162280	OK	 
REQUEST	201		LoadNewComputerPage	1678089162172	1678089162282	OK	 
REQUEST	304		LoadHomePage	1678089161863	1678089162291	OK	 
REQUEST	92		CreateNewComputer Redirect 1	1678089162200	1678089162307	OK	 
REQUEST	202		LoadNewComputerPage	1678089162203	1678089162309	OK	 
USER	MyComputerJourney	313	START	1678089162312	1678089162312
REQUEST	93		CreateNewComputer Redirect 1	1678089162212	1678089162321	OK	 
REQUEST	94		CreateNewComputer Redirect 1	1678089162218	1678089162330	OK	 
REQUEST	305		LoadHomePage	1678089161913	1678089162341	OK	 
USER	MyComputerJourney	314	START	1678089162362	1678089162362
REQUEST	97		CreateNewComputer	1678089162282	1678089162391	OK	 
REQUEST	95		CreateNewComputer	1678089162282	1678089162391	OK	 
REQUEST	96		CreateNewComputer	1678089162282	1678089162393	OK	 
REQUEST	203		LoadNewComputerPage	1678089162292	1678089162405	OK	 
USER	MyComputerJourney	315	START	1678089162412	1678089162412
REQUEST	204		LoadNewComputerPage	1678089162313	1678089162423	OK	 
REQUEST	306		LoadHomePage	1678089161963	1678089162426	OK	 
REQUEST	307		LoadHomePage	1678089162013	1678089162444	OK	 
USER	MyComputerJourney	316	START	1678089162462	1678089162462
REQUEST	181		LoadNewComputerPage	1678089162363	1678089162470	OK	 
REQUEST	205		LoadNewComputerPage	1678089162363	1678089162472	OK	 
REQUEST	308		LoadHomePage	1678089162063	1678089162492	OK	 
REQUEST	97		CreateNewComputer Redirect 1	1678089162392	1678089162502	OK	 
REQUEST	95		CreateNewComputer Redirect 1	1678089162392	1678089162502	OK	 
REQUEST	96		CreateNewComputer Redirect 1	1678089162394	1678089162506	OK	 
REQUEST	206		LoadNewComputerPage	1678089162402	1678089162510	OK	 
USER	MyComputerJourney	317	START	1678089162512	1678089162512
USER	MyComputerJourney	318	START	1678089162562	1678089162562
REQUEST	309		LoadHomePage	1678089162113	1678089162568	OK	 
REQUEST	207		LoadNewComputerPage	1678089162462	1678089162572	OK	 
REQUEST	310		LoadHomePage	1678089162163	1678089162582	OK	 
REQUEST	99		CreateNewComputer	1678089162493	1678089162601	OK	 
REQUEST	98		CreateNewComputer	1678089162493	1678089162601	OK	 
USER	MyComputerJourney	319	START	1678089162613	1678089162613
REQUEST	208		LoadNewComputerPage	1678089162513	1678089162622	OK	 
USER	MyComputerJourney	320	START	1678089162663	1678089162663
REQUEST	311		LoadHomePage	1678089162214	1678089162681	OK	 
REQUEST	209		LoadNewComputerPage	1678089162573	1678089162686	OK	 
REQUEST	312		LoadHomePage	1678089162263	1678089162691	OK	 
REQUEST	99		CreateNewComputer Redirect 1	1678089162602	1678089162711	OK	 
REQUEST	98		CreateNewComputer Redirect 1	1678089162602	1678089162711	OK	 
USER	MyComputerJourney	321	START	1678089162713	1678089162713
REQUEST	313		LoadHomePage	1678089162313	1678089162737	OK	 
REQUEST	210		LoadNewComputerPage	1678089162633	1678089162748	OK	 
USER	MyComputerJourney	322	START	1678089162763	1678089162763
REQUEST	211		LoadNewComputerPage	1678089162663	1678089162771	OK	 
REQUEST	314		LoadHomePage	1678089162364	1678089162794	OK	 
USER	MyComputerJourney	323	START	1678089162812	1678089162812
REQUEST	102		CreateNewComputer	1678089162714	1678089162821	OK	 
REQUEST	212		LoadNewComputerPage	1678089162713	1678089162823	OK	 
REQUEST	100		CreateNewComputer	1678089162723	1678089162829	OK	 
REQUEST	101		CreateNewComputer	1678089162723	1678089162832	OK	 
REQUEST	103		CreateNewComputer	1678089162718	1678089162832	OK	 
REQUEST	315		LoadHomePage	1678089162414	1678089162852	OK	 
REQUEST	213		LoadNewComputerPage	1678089162753	1678089162861	OK	 
USER	MyComputerJourney	324	START	1678089162863	1678089162863
REQUEST	316		LoadHomePage	1678089162464	1678089162894	OK	 
REQUEST	214		LoadNewComputerPage	1678089162803	1678089162911	OK	 
USER	MyComputerJourney	325	START	1678089162912	1678089162912
REQUEST	102		CreateNewComputer Redirect 1	1678089162822	1678089162931	OK	 
REQUEST	100		CreateNewComputer Redirect 1	1678089162830	1678089162937	OK	 
REQUEST	101		CreateNewComputer Redirect 1	1678089162833	1678089162944	OK	 
REQUEST	103		CreateNewComputer Redirect 1	1678089162834	1678089162949	OK	 
USER	MyComputerJourney	326	START	1678089162962	1678089162962
REQUEST	215		LoadNewComputerPage	1678089162863	1678089162971	OK	 
REQUEST	317		LoadHomePage	1678089162514	1678089162977	OK	 
REQUEST	318		LoadHomePage	1678089162564	1678089162996	OK	 
REQUEST	105		CreateNewComputer	1678089162903	1678089163007	OK	 
REQUEST	104		CreateNewComputer	1678089162903	1678089163010	OK	 
REQUEST	106		CreateNewComputer	1678089162903	1678089163010	OK	 
USER	MyComputerJourney	327	START	1678089163012	1678089163012
REQUEST	107		CreateNewComputer	1678089162913	1678089163023	OK	 
REQUEST	319		LoadHomePage	1678089162614	1678089163041	OK	 
REQUEST	216		LoadNewComputerPage	1678089162933	1678089163047	OK	 
USER	MyComputerJourney	328	START	1678089163062	1678089163062
REQUEST	217		LoadNewComputerPage	1678089162973	1678089163087	OK	 
REQUEST	10		FilterComputer	1678089162992	1678089163100	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	7		FilterComputer	1678089162992	1678089163100	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163102
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163102
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163103
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163103
USER	MyComputerJourney	7	END	1678089147013	1678089163106
REQUEST	320		LoadHomePage	1678089162665	1678089163106	OK	 
USER	MyComputerJourney	10	END	1678089147162	1678089163108
REQUEST	218		LoadNewComputerPage	1678089163002	1678089163110	OK	 
USER	MyComputerJourney	329	START	1678089163112	1678089163112
REQUEST	105		CreateNewComputer Redirect 1	1678089163009	1678089163113	OK	 
REQUEST	104		CreateNewComputer Redirect 1	1678089163012	1678089163120	OK	 
REQUEST	106		CreateNewComputer Redirect 1	1678089163012	1678089163120	OK	 
REQUEST	107		CreateNewComputer Redirect 1	1678089163025	1678089163138	OK	 
REQUEST	8		FilterComputer	1678089163025	1678089163145	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163146
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163147
USER	MyComputerJourney	8	END	1678089147063	1678089163150
REQUEST	9		FilterComputer	1678089163032	1678089163152	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163153
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163154
USER	MyComputerJourney	9	END	1678089147112	1678089163156
REQUEST	321		LoadHomePage	1678089162715	1678089163158	OK	 
REQUEST	219		LoadNewComputerPage	1678089163053	1678089163162	OK	 
USER	MyComputerJourney	330	START	1678089163162	1678089163162
REQUEST	322		LoadHomePage	1678089162764	1678089163194	OK	 
USER	MyComputerJourney	331	START	1678089163212	1678089163212
REQUEST	109		CreateNewComputer	1678089163123	1678089163227	OK	 
REQUEST	110		CreateNewComputer	1678089163123	1678089163231	OK	 
REQUEST	220		LoadNewComputerPage	1678089163123	1678089163234	OK	 
REQUEST	108		CreateNewComputer	1678089163133	1678089163239	OK	 
REQUEST	111		CreateNewComputer	1678089163133	1678089163240	OK	 
REQUEST	323		LoadHomePage	1678089162813	1678089163250	OK	 
REQUEST	221		LoadNewComputerPage	1678089163152	1678089163261	OK	 
USER	MyComputerJourney	332	START	1678089163262	1678089163262
REQUEST	324		LoadHomePage	1678089162864	1678089163292	OK	 
USER	MyComputerJourney	333	START	1678089163312	1678089163312
REQUEST	11		FilterComputer	1678089163212	1678089163322	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163323
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163323
REQUEST	222		LoadNewComputerPage	1678089163212	1678089163323	OK	 
USER	MyComputerJourney	11	END	1678089147213	1678089163326
REQUEST	14		FilterComputer	1678089163223	1678089163331	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163332
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163335
REQUEST	13		FilterComputer	1678089163223	1678089163334	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
USER	MyComputerJourney	14	END	1678089147363	1678089163338
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163339
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163342
REQUEST	110		CreateNewComputer Redirect 1	1678089163231	1678089163340	OK	 
USER	MyComputerJourney	13	END	1678089147313	1678089163345
REQUEST	12		FilterComputer	1678089163223	1678089163346	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163348
REQUEST	111		CreateNewComputer Redirect 1	1678089163241	1678089163349	OK	 
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163350
USER	MyComputerJourney	12	END	1678089147262	1678089163352
REQUEST	109		CreateNewComputer Redirect 1	1678089163228	1678089163346	OK	 
REQUEST	325		LoadHomePage	1678089162914	1678089163357	OK	 
REQUEST	108		CreateNewComputer Redirect 1	1678089163240	1678089163356	OK	 
USER	MyComputerJourney	334	START	1678089163362	1678089163362
REQUEST	223		LoadNewComputerPage	1678089163263	1678089163375	OK	 
REQUEST	326		LoadHomePage	1678089162963	1678089163392	OK	 
REQUEST	224		LoadNewComputerPage	1678089163302	1678089163410	OK	 
USER	MyComputerJourney	335	START	1678089163412	1678089163412
REQUEST	115		CreateNewComputer	1678089163325	1678089163432	OK	 
REQUEST	112		CreateNewComputer	1678089163325	1678089163436	OK	 
REQUEST	114		CreateNewComputer	1678089163325	1678089163440	OK	 
REQUEST	113		CreateNewComputer	1678089163332	1678089163440	OK	 
REQUEST	327		LoadHomePage	1678089163014	1678089163442	OK	 
USER	MyComputerJourney	336	START	1678089163462	1678089163462
REQUEST	225		LoadNewComputerPage	1678089163373	1678089163486	OK	 
REQUEST	328		LoadHomePage	1678089163064	1678089163499	OK	 
REQUEST	226		LoadNewComputerPage	1678089163402	1678089163509	OK	 
USER	MyComputerJourney	337	START	1678089163513	1678089163513
REQUEST	15		FilterComputer	1678089163412	1678089163519	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163520
REQUEST	18		FilterComputer	1678089163412	1678089163521	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163522
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163522
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163523
USER	MyComputerJourney	15	END	1678089147413	1678089163525
USER	MyComputerJourney	18	END	1678089147562	1678089163525
REQUEST	17		FilterComputer	1678089163422	1678089163535	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163541
REQUEST	115		CreateNewComputer Redirect 1	1678089163433	1678089163541	OK	 
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163546
REQUEST	112		CreateNewComputer Redirect 1	1678089163437	1678089163546	OK	 
USER	MyComputerJourney	17	END	1678089147513	1678089163548
REQUEST	329		LoadHomePage	1678089163114	1678089163551	OK	 
REQUEST	114		CreateNewComputer Redirect 1	1678089163441	1678089163554	OK	 
REQUEST	113		CreateNewComputer Redirect 1	1678089163441	1678089163555	OK	 
REQUEST	16		FilterComputer	1678089163443	1678089163557	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163558
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163559
USER	MyComputerJourney	16	END	1678089147469	1678089163561
USER	MyComputerJourney	338	START	1678089163563	1678089163563
REQUEST	227		LoadNewComputerPage	1678089163462	1678089163572	OK	 
REQUEST	228		LoadNewComputerPage	1678089163503	1678089163611	OK	 
USER	MyComputerJourney	339	START	1678089163613	1678089163613
REQUEST	330		LoadHomePage	1678089163164	1678089163629	OK	 
REQUEST	119		CreateNewComputer	1678089163523	1678089163640	OK	 
REQUEST	118		CreateNewComputer	1678089163533	1678089163646	OK	 
REQUEST	116		CreateNewComputer	1678089163545	1678089163655	OK	 
USER	MyComputerJourney	340	START	1678089163663	1678089163663
REQUEST	117		CreateNewComputer	1678089163553	1678089163667	OK	 
REQUEST	331		LoadHomePage	1678089163213	1678089163669	OK	 
REQUEST	229		LoadNewComputerPage	1678089163574	1678089163685	OK	 
REQUEST	332		LoadHomePage	1678089163263	1678089163704	OK	 
USER	MyComputerJourney	341	START	1678089163712	1678089163712
REQUEST	21		FilterComputer	1678089163613	1678089163717	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163718
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163718
USER	MyComputerJourney	21	END	1678089147712	1678089163718
REQUEST	20		FilterComputer	1678089163622	1678089163731	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163731
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163732
REQUEST	230		LoadNewComputerPage	1678089163622	1678089163733	OK	 
USER	MyComputerJourney	20	END	1678089147662	1678089163733
REQUEST	119		CreateNewComputer Redirect 1	1678089163641	1678089163748	OK	 
REQUEST	19		FilterComputer	1678089163642	1678089163752	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163753
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163754
USER	MyComputerJourney	19	END	1678089147612	1678089163756
REQUEST	118		CreateNewComputer Redirect 1	1678089163646	1678089163757	OK	 
USER	MyComputerJourney	342	START	1678089163763	1678089163763
REQUEST	116		CreateNewComputer Redirect 1	1678089163656	1678089163768	OK	 
REQUEST	333		LoadHomePage	1678089163313	1678089163773	OK	 
REQUEST	231		LoadNewComputerPage	1678089163673	1678089163785	OK	 
REQUEST	117		CreateNewComputer Redirect 1	1678089163668	1678089163788	OK	 
REQUEST	334		LoadHomePage	1678089163364	1678089163794	OK	 
USER	MyComputerJourney	343	START	1678089163813	1678089163813
REQUEST	232		LoadNewComputerPage	1678089163713	1678089163825	OK	 
REQUEST	123		CreateNewComputer	1678089163732	1678089163836	OK	 
REQUEST	120		CreateNewComputer	1678089163742	1678089163849	OK	 
USER	MyComputerJourney	344	START	1678089163862	1678089163862
REQUEST	335		LoadHomePage	1678089163414	1678089163871	OK	 
REQUEST	233		LoadNewComputerPage	1678089163763	1678089163874	OK	 
REQUEST	336		LoadHomePage	1678089163463	1678089163892	OK	 
USER	MyComputerJourney	345	START	1678089163912	1678089163912
REQUEST	234		LoadNewComputerPage	1678089163813	1678089163922	OK	 
REQUEST	25		FilterComputer	1678089163823	1678089163931	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	24		FilterComputer	1678089163823	1678089163931	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163931
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163931
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163931
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163931
USER	MyComputerJourney	25	END	1678089147912	1678089163932
USER	MyComputerJourney	24	END	1678089147862	1678089163932
REQUEST	123		CreateNewComputer Redirect 1	1678089163838	1678089163943	OK	 
REQUEST	23		FilterComputer	1678089163834	1678089163944	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163944
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163944
USER	MyComputerJourney	23	END	1678089147812	1678089163945
REQUEST	121		CreateNewComputer	1678089163834	1678089163946	OK	 
REQUEST	122		CreateNewComputer	1678089163843	1678089163948	OK	 
REQUEST	27		FilterComputer	1678089163842	1678089163949	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163949
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089163949
USER	MyComputerJourney	27	END	1678089148012	1678089163950
REQUEST	120		CreateNewComputer Redirect 1	1678089163851	1678089163958	OK	 
REQUEST	337		LoadHomePage	1678089163514	1678089163960	OK	 
USER	MyComputerJourney	346	START	1678089163962	1678089163962
REQUEST	235		LoadNewComputerPage	1678089163862	1678089163971	OK	 
REQUEST	338		LoadHomePage	1678089163564	1678089163996	OK	 
USER	MyComputerJourney	347	START	1678089164012	1678089164012
REQUEST	236		LoadNewComputerPage	1678089163912	1678089164019	OK	 
REQUEST	125		CreateNewComputer	1678089163932	1678089164035	OK	 
REQUEST	26		FilterComputer	1678089163942	1678089164050	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164051
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164051
USER	MyComputerJourney	26	END	1678089147962	1678089164052
REQUEST	124		CreateNewComputer	1678089163942	1678089164052	OK	 
REQUEST	128		CreateNewComputer	1678089163942	1678089164053	OK	 
REQUEST	122		CreateNewComputer Redirect 1	1678089163949	1678089164056	OK	 
REQUEST	121		CreateNewComputer Redirect 1	1678089163946	1678089164057	OK	 
REQUEST	127		CreateNewComputer	1678089163953	1678089164059	OK	 
REQUEST	339		LoadHomePage	1678089163614	1678089164061	OK	 
USER	MyComputerJourney	348	START	1678089164072	1678089164072
REQUEST	126		CreateNewComputer	1678089163953	1678089164060	OK	 
REQUEST	237		LoadNewComputerPage	1678089163963	1678089164073	OK	 
REQUEST	340		LoadHomePage	1678089163663	1678089164110	OK	 
USER	MyComputerJourney	349	START	1678089164112	1678089164112
REQUEST	22		FilterComputer	1678089164032	1678089164140	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	125		CreateNewComputer Redirect 1	1678089164037	1678089164140	OK	 
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164141
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164141
USER	MyComputerJourney	22	END	1678089147762	1678089164142
REQUEST	28		FilterComputer	1678089164032	1678089164143	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164144
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164144
USER	MyComputerJourney	28	END	1678089148063	1678089164145
REQUEST	341		LoadHomePage	1678089163713	1678089164146	OK	 
REQUEST	30		FilterComputer	1678089164043	1678089164151	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164151
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164151
USER	MyComputerJourney	30	END	1678089148163	1678089164152
REQUEST	238		LoadNewComputerPage	1678089164043	1678089164156	OK	 
REQUEST	239		LoadNewComputerPage	1678089164053	1678089164156	OK	 
REQUEST	124		CreateNewComputer Redirect 1	1678089164052	1678089164161	OK	 
USER	MyComputerJourney	350	START	1678089164162	1678089164162
REQUEST	29		FilterComputer	1678089164053	1678089164163	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164163
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1678089164164
REQUEST	128		CreateNewComputer Redirect 1	1678089164054	1678089164164	OK	 
USER	MyComputerJourney	29	END	1678089148112	1678089164165
REQUEST	127		CreateNewComputer Redirect 1	1678089164060	1678089164167	OK	 
