RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1678087454512	test	3.3.1
REQUEST	43		LoadHomePage	1678087472360	1678087472798	OK	 
USER	MyComputerJourney	52	START	1678087472809	1678087472809
REQUEST	44		LoadHomePage	1678087472410	1678087472847	OK	 
USER	MyComputerJourney	53	START	1678087472858	1678087472858
REQUEST	45		LoadHomePage	1678087472459	1678087472890	OK	 
USER	MyComputerJourney	54	START	1678087472908	1678087472908
REQUEST	46		LoadHomePage	1678087472510	1678087472925	OK	 
USER	MyComputerJourney	55	START	1678087472959	1678087472959
REQUEST	47		LoadHomePage	1678087472559	1678087473003	OK	 
USER	MyComputerJourney	56	START	1678087473008	1678087473008
REQUEST	48		LoadHomePage	1678087472610	1678087473045	OK	 
USER	MyComputerJourney	57	START	1678087473059	1678087473059
REQUEST	49		LoadHomePage	1678087472662	1678087473099	OK	 
USER	MyComputerJourney	58	START	1678087473109	1678087473109
REQUEST	50		LoadHomePage	1678087472709	1678087473139	OK	 
USER	MyComputerJourney	59	START	1678087473159	1678087473159
REQUEST	51		LoadHomePage	1678087472760	1678087473190	OK	 
USER	MyComputerJourney	60	START	1678087473209	1678087473209
REQUEST	52		LoadHomePage	1678087472810	1678087473241	OK	 
USER	MyComputerJourney	61	START	1678087473259	1678087473259
REQUEST	53		LoadHomePage	1678087472859	1678087473293	OK	 
USER	MyComputerJourney	62	START	1678087473308	1678087473308
USER	MyComputerJourney	63	START	1678087473358	1678087473358
REQUEST	54		LoadHomePage	1678087472909	1678087473370	OK	 
REQUEST	55		LoadHomePage	1678087472959	1678087473392	OK	 
USER	MyComputerJourney	64	START	1678087473408	1678087473408
REQUEST	56		LoadHomePage	1678087473009	1678087473450	OK	 
USER	MyComputerJourney	65	START	1678087473458	1678087473458
REQUEST	57		LoadHomePage	1678087473060	1678087473494	OK	 
USER	MyComputerJourney	66	START	1678087473508	1678087473508
REQUEST	3		CreateNewComputer	1678087473409	1678087473519	OK	 
REQUEST	58		LoadHomePage	1678087473110	1678087473547	OK	 
USER	MyComputerJourney	67	START	1678087473558	1678087473558
REQUEST	59		LoadHomePage	1678087473161	1678087473598	OK	 
USER	MyComputerJourney	68	START	1678087473608	1678087473608
REQUEST	3		CreateNewComputer Redirect 1	1678087473521	1678087473631	OK	 
REQUEST	60		LoadHomePage	1678087473211	1678087473645	OK	 
USER	MyComputerJourney	69	START	1678087473658	1678087473658
REQUEST	61		LoadHomePage	1678087473261	1678087473705	OK	 
USER	MyComputerJourney	70	START	1678087473708	1678087473708
REQUEST	62		LoadHomePage	1678087473310	1678087473747	OK	 
USER	MyComputerJourney	71	START	1678087473758	1678087473758
USER	MyComputerJourney	72	START	1678087473808	1678087473808
REQUEST	63		LoadHomePage	1678087473360	1678087473819	OK	 
REQUEST	64		LoadHomePage	1678087473411	1678087473848	OK	 
USER	MyComputerJourney	73	START	1678087473859	1678087473859
USER	MyComputerJourney	74	START	1678087473908	1678087473908
REQUEST	65		LoadHomePage	1678087473460	1678087473910	OK	 
REQUEST	66		LoadHomePage	1678087473510	1678087473946	OK	 
USER	MyComputerJourney	75	START	1678087473958	1678087473958
REQUEST	67		LoadHomePage	1678087473560	1678087474005	OK	 
USER	MyComputerJourney	76	START	1678087474008	1678087474008
REQUEST	68		LoadHomePage	1678087473611	1678087474047	OK	 
USER	MyComputerJourney	77	START	1678087474058	1678087474058
REQUEST	69		LoadHomePage	1678087473659	1678087474086	OK	 
USER	MyComputerJourney	78	START	1678087474108	1678087474108
USER	MyComputerJourney	79	START	1678087474159	1678087474159
REQUEST	70		LoadHomePage	1678087473709	1678087474171	OK	 
REQUEST	71		LoadHomePage	1678087473760	1678087474201	OK	 
USER	MyComputerJourney	80	START	1678087474208	1678087474208
REQUEST	72		LoadHomePage	1678087473809	1678087474241	OK	 
USER	MyComputerJourney	81	START	1678087474259	1678087474259
REQUEST	73		LoadHomePage	1678087473859	1678087474305	OK	 
USER	MyComputerJourney	82	START	1678087474308	1678087474308
REQUEST	74		LoadHomePage	1678087473909	1678087474354	OK	 
USER	MyComputerJourney	83	START	1678087474359	1678087474359
REQUEST	75		LoadHomePage	1678087473961	1678087474400	OK	 
USER	MyComputerJourney	84	START	1678087474408	1678087474408
USER	MyComputerJourney	85	START	1678087474458	1678087474458
REQUEST	76		LoadHomePage	1678087474010	1678087474459	OK	 
REQUEST	77		LoadHomePage	1678087474060	1678087474492	OK	 
USER	MyComputerJourney	86	START	1678087474508	1678087474508
REQUEST	6		LoadNewComputerPage	1678087474429	1678087474537	OK	 
REQUEST	78		LoadHomePage	1678087474110	1678087474540	OK	 
USER	MyComputerJourney	87	START	1678087474558	1678087474558
REQUEST	79		LoadHomePage	1678087474161	1678087474591	OK	 
USER	MyComputerJourney	88	START	1678087474608	1678087474608
USER	MyComputerJourney	89	START	1678087474659	1678087474659
REQUEST	80		LoadHomePage	1678087474210	1678087474666	OK	 
REQUEST	81		LoadHomePage	1678087474260	1678087474679	OK	 
USER	MyComputerJourney	90	START	1678087474708	1678087474708
USER	MyComputerJourney	91	START	1678087474759	1678087474759
REQUEST	82		LoadHomePage	1678087474309	1678087474760	OK	 
USER	MyComputerJourney	92	START	1678087474809	1678087474809
REQUEST	83		LoadHomePage	1678087474360	1678087474844	OK	 
REQUEST	84		LoadHomePage	1678087474409	1678087474849	OK	 
USER	MyComputerJourney	93	START	1678087474859	1678087474859
REQUEST	85		LoadHomePage	1678087474459	1678087474894	OK	 
USER	MyComputerJourney	94	START	1678087474908	1678087474908
REQUEST	86		LoadHomePage	1678087474509	1678087474939	OK	 
USER	MyComputerJourney	95	START	1678087474958	1678087474958
USER	MyComputerJourney	96	START	1678087475009	1678087475009
REQUEST	87		LoadHomePage	1678087474560	1678087475014	OK	 
REQUEST	88		LoadHomePage	1678087474610	1678087475041	OK	 
USER	MyComputerJourney	97	START	1678087475058	1678087475058
REQUEST	89		LoadHomePage	1678087474661	1678087475093	OK	 
USER	MyComputerJourney	98	START	1678087475109	1678087475109
REQUEST	90		LoadHomePage	1678087474709	1678087475158	OK	 
USER	MyComputerJourney	99	START	1678087475159	1678087475159
REQUEST	91		LoadHomePage	1678087474761	1678087475193	OK	 
USER	MyComputerJourney	100	START	1678087475209	1678087475209
REQUEST	92		LoadHomePage	1678087474811	1678087475246	OK	 
USER	MyComputerJourney	101	START	1678087475259	1678087475259
USER	MyComputerJourney	102	START	1678087475308	1678087475308
REQUEST	93		LoadHomePage	1678087474861	1678087475311	OK	 
REQUEST	94		LoadHomePage	1678087474910	1678087475328	OK	 
USER	MyComputerJourney	103	START	1678087475359	1678087475359
USER	MyComputerJourney	104	START	1678087475408	1678087475408
REQUEST	95		LoadHomePage	1678087474959	1678087475426	OK	 
USER	MyComputerJourney	105	START	1678087475459	1678087475459
REQUEST	96		LoadHomePage	1678087475010	1678087475464	OK	 
USER	MyComputerJourney	106	START	1678087475508	1678087475508
REQUEST	97		LoadHomePage	1678087475060	1678087475511	OK	 
USER	MyComputerJourney	107	START	1678087475559	1678087475559
REQUEST	98		LoadHomePage	1678087475109	1678087475562	OK	 
REQUEST	99		LoadHomePage	1678087475160	1678087475589	OK	 
USER	MyComputerJourney	108	START	1678087475609	1678087475609
REQUEST	100		LoadHomePage	1678087475211	1678087475646	OK	 
USER	MyComputerJourney	109	START	1678087475658	1678087475658
REQUEST	4		CreateNewComputer	1678087475579	1678087475687	OK	 
REQUEST	101		LoadHomePage	1678087475260	1678087475709	OK	 
USER	MyComputerJourney	110	START	1678087475709	1678087475709
REQUEST	102		LoadHomePage	1678087475310	1678087475749	OK	 
USER	MyComputerJourney	111	START	1678087475758	1678087475758
REQUEST	103		LoadHomePage	1678087475359	1678087475794	OK	 
REQUEST	4		CreateNewComputer Redirect 1	1678087475689	1678087475798	OK	 
USER	MyComputerJourney	112	START	1678087475809	1678087475809
USER	MyComputerJourney	113	START	1678087475858	1678087475858
REQUEST	104		LoadHomePage	1678087475410	1678087475870	OK	 
REQUEST	105		LoadHomePage	1678087475460	1678087475901	OK	 
USER	MyComputerJourney	114	START	1678087475908	1678087475908
REQUEST	106		LoadHomePage	1678087475510	1678087475950	OK	 
